,word,frequency
11,',13356
18,je,9893
50,est,8880
59,tom,5771
220,de,5322
117,le,5275
81,il,5254
4,?,5015
29,-,4791
75,la,4271
51,pas,4103
56,nous,4057
85,ne,4048
128,a,3907
20,j,3736
79,un,3664
134,tu,3587
9,à,3079
155,les,2733
22,ai,2726
115,vous,2647
49,c,2625
325,une,2616
381,ce,2271
106,en,2219
202,elle,2210
507,que,2177
10,l,2061
40,suis,1962
484,n,1941
95,me,1675
5,ça,1586
386,était,1462
435,sont,1366
231,ils,1294
341,mon,1237
267,des,1228
186,tout,1226
1279,très,1193
36,moi,1040
250,pour,978
330,veux,937
2117,son,893
2468,cette,888
210,d,868
165,fait,861
822,se,859
251,faire,857
314,aime,823
7,au,815
37,dans,814
91,du,814
481,es,769
87,plus,766
510,te,762
1328,être,743
301,ma,742
163,m,728
726,tous,710
57,avons,698
247,sommes,678
255,as,671
3,qui,668
31,",",667
552,cela,656
47,bien,650
53,vraiment,650
214,y,642
1036,personne,630
225,ici,621
544,peux,620
695,avec,619
642,lui,595
1191,votre,590
2356,sa,581
595,été,577
792,ton,571
462,s,537
854,beaucoup,536
752,où,535
438,ont,523
42,sais,516
30,toi,503
688,sur,471
1254,toujours,452
317,dois,446
238,trop,444
434,et,440
0,va,432
999,français,430
1256,mes,427
473,monde,427
286,bon,414
1871,pense,407
1011,rien,407
523,t,404
894,jamais,392
882,mary,390
777,peut,388
55,on,387
2135,ses,383
761,avez,370
32,maintenant,370
89,fais,362
76,maison,360
755,pourquoi,353
1637,chose,352
397,temps,352
537,comment,345
331,étais,344
578,faut,339
576,deux,339
415,là,331
1682,quelque,329
765,êtes,327
450,encore,320
1568,par,318
1162,voiture,309
147,ceci,309
46,vais,304
977,si,303
539,travail,299
1458,notre,298
2111,ta,298
477,porte,296
80,peu,293
1329,livre,288
306,avoir,280
779,parler,275
159,quelle,271
3817,ces,270
1135,quel,268
2273,demain,268
1148,qu,268
2989,père,265
1742,déjà,262
318,aller,258
407,voir,257
64,juste,257
157,comme,257
319,besoin,254
883,enfants,250
904,chien,250
907,devrais,250
1724,fut,247
324,dit,244
677,problème,240
315,adore,237
4351,trois,235
276,sens,233
38,tes,227
281,bonne,224
1233,veut,223
1437,assez,222
226,parle,218
2940,mère,218
1224,avait,213
500,seul,212
3750,hier,212
579,air,210
445,sait,209
613,mieux,208
1481,aux,207
217,puis,207
309,déteste,206
1476,marie,205
371,train,199
860,peur,196
731,devons,195
608,fille,191
54,merci,191
847,dire,186
218,partir,185
92,même,185
897,souvent,184
2272,semble,184
991,doit,183
201,mal,183
2407,cet,183
1033,argent,182
496,aider,181
1280,prendre,180
674,sans,179
354,vie,174
1790,dû,172
174,vu,171
978,heureux,170
643,grand,168
262,pouvons,166
2152,étaient,166
5230,pensais,166
1830,boston,164
221,quoi,164
367,difficile,163
245,regarde,162
70,laisse,161
190,chez,161
2178,amis,160
138,homme,160
2077,chambre,160
566,connais,159
265,viens,158
45,perdu,157
1048,veuillez,155
2814,toute,153
1741,presque,152
928,travaille,151
846,manger,150
119,aussi,149
689,vos,148
2697,sera,147
206,nouveau,146
4353,quelques,145
12,aide,145
140,idée,144
3701,frère,143
2516,aimerais,142
1879,voulais,141
322,pris,141
1613,femme,139
408,reste,138
213,allons,137
3618,soir,137
656,nuit,137
127,dis,137
376,raison,137
2841,quand,137
136,leur,135
501,tôt,135
346,rester,134
1218,autre,134
4280,question,132
994,pourrait,131
865,eu,131
3018,jour,131
2524,toutes,128
352,travailler,128
1018,simplement,127
1323,eau,127
4457,parents,126
1812,gens,126
256,après,125
2205,combien,125
2203,histoire,124
1371,ami,123
1506,devrions,123
1597,ensemble,123
1260,crois,122
122,tard,122
234,mort,122
126,prends,122
504,vite,122
2034,jouer,120
280,lit,119
228,arrête,119
841,acheté,119
181,occupé,117
547,lire,117
282,chance,116
3049,sœur,115
300,donne,115
676,aucun,115
1628,erreur,115
1236,devrait,114
303,chat,114
385,mauvais,114
3113,jours,114
699,petit,113
916,avais,113
182,froid,113
61,sois,113
804,pièce,113
2028,nom,112
1310,livres,112
1537,choses,111
379,fatigué,111
1325,joue,111
678,fois,109
758,pouvez,109
2813,famille,108
635,tellement,108
541,prêt,108
3079,téléphone,108
196,grande,107
873,yeux,107
549,nager,107
227,fort,107
1712,anglais,107
1793,café,107
3760,aurais,105
1491,nos,105
1230,vient,104
3017,chaque,104
19,comprends,103
1865,garçon,103
495,venir,103
1638,elles,102
215,attention,102
992,arrivé,102
561,trouvé,102
598,écrit,102
1931,belle,101
2141,heures,101
123,montre,101
2125,ville,101
109,malade,100
4406,sous,100
568,apprécie,100
1507,quelqu,100
2519,plutôt,99
313,savais,99
2029,vit,98
1294,musique,98
3299,réponse,98
2085,voulait,98
58,demande,97
1460,facile,97
623,faim,97
266,bientôt,97
550,attendre,96
145,trouve,95
1994,complètement,94
1456,matin,94
284,vieux,93
139,aucune,93
398,vrai,92
240,confiance,92
191,retard,92
135,gros,92
449,colère,92
489,heure,91
824,beau,91
1246,moment,90
380,dur,90
1577,hui,90
1576,aujourd,90
4243,probablement,90
1733,fils,89
1022,faisons,88
1749,rapidement,88
819,jeune,88
1425,vérité,88
391,nourriture,87
3977,lettre,87
1019,savoir,86
836,allé,86
1766,part,85
1689,cheveux,85
3116,film,85
1273,bois,85
1211,école,85
1029,déjeuner,85
178,essayer,84
3218,nouvelle,84
732,voulons,83
1295,entendu,83
1000,lundi,83
1583,étions,83
548,chanter,82
929,serai,81
1319,chapeau,80
555,mange,80
1847,semaine,80
850,pourrais,80
941,enfant,80
233,venu,80
1182,dehors,80
470,vas,79
184,fini,79
751,journée,79
2250,photo,79
448,main,78
288,voici,77
1505,partie,77
2739,bureau,77
1921,professeur,77
2022,choix,77
1204,médecin,77
363,tête,77
1418,meilleur,76
789,compte,76
1800,plan,76
43,parti,75
1398,pays,75
2654,prix,75
1180,immédiatement,74
447,parlé,74
1318,étudier,74
239,faites,74
2704,bébé,74
1500,connaît,73
5448,serait,73
327,vois,73
399,boulot,73
2668,vélo,72
662,mourir,72
326,vis,72
1856,préfère,72
2408,endroit,72
25,non,72
2419,table,72
494,vin,72
3411,mains,71
1940,vivre,71
645,passé,71
